"date","Price_1BC","Price_2BO","Price_3BL","Price_4BZ","Price_5CO","Price_6CW","Price_7DANS","Price_8BOW","Price_9DPRB","Price_10GD","Price_11GS","Price_12IZ","Price_13NO","Price_14NW","Price_15OHIB","Price_16OD","Price_17ON","Price_18OO","Price_19SV","Price_20WGM","Price_21WP","Price_22ZUID"
"2022-08-13",178.909090909091,138.789473684211,149.514170040486,151.321428571429,219.43954248366,221.35656213705,154.9,175.590286425903,190.746835443038,101.636363636364,155.795180722892,189.08125,141.870967741935,139.176470588235,164.458536585366,146.694444444444,199.775100401606,170.88141025641,123.178217821782,178.421768707483,176.581081081081,201.930167597765
"2022-08-14",176.666666666667,137.947368421053,143.233870967742,149.839285714286,211.008169934641,207.959349593496,150.12,169.907845579078,182.905967450271,100.840909090909,132.578313253012,184.26875,140.806451612903,138.139705882353,161.175609756098,135.722222222222,191.784860557769,167.08945686901,117.108910891089,170.251700680272,170.784366576819,193.301675977654
"2022-08-15",175.636363636364,137.684210526316,143.951612903226,149.678571428571,210.752039151713,207.437862950058,149.64,169.911581569116,182.849909584087,99.8636363636364,131.096385542169,184.04375,140.612903225806,138.022058823529,161.243902439024,133.222222222222,191.741035856574,167.220447284345,118.376237623762,169.87074829932,169.722371967655,193.111731843575
"2022-08-16",175.606060606061,137.684210526316,143.935483870968,149.642857142857,211.504078303426,208.030197444832,149.64,169.904109589041,182.929475587703,99.8409090909091,131.10843373494,184.00625,140.612903225806,138.007352941176,161.009756097561,133.222222222222,191.741035856574,167.214057507987,118.336633663366,169.857142857143,169.749326145553,193.148044692737
"2022-08-17",175.636363636364,137.684210526316,144.391129032258,149.678571428571,211.376835236542,207.783972125436,149.68,170.058530510585,183.065099457505,99.9090909090909,131.21686746988,184.11875,140.612903225806,138.088235294118,161.063414634146,133.25,191.772908366534,166.993610223642,118.376237623762,169.884353741497,169.867924528302,192.969273743017
"2022-08-18",175.818181818182,137.789473684211,144.588709677419,149.696428571429,211.717781402936,209.642276422764,149.84,170.387297633873,183.352622061483,100.045454545455,131.325301204819,184.20625,140.94623655914,138.205882352941,161.253658536585,133.416666666667,191.852589641434,167.172523961661,118.554455445545,170.448979591837,170.129380053908,193.472067039106
"2022-08-19",178.515151515152,138.473684210526,151.153225806452,151.196428571429,218.856209150327,223.11149825784,153.4,175.13698630137,190.041591320072,100.386363636364,147.626506024096,188.56875,141.612903225806,138.882352941176,164.121951219512,140.805555555556,198.714859437751,169.939102564103,121.960396039604,178.265306122449,175.397297297297,199.13407821229
"2022-08-20",178.757575757576,138.684210526316,149.919028340081,151.25,219.668300653595,222.418118466899,153.82,175.513075965131,190.763110307414,100.568181818182,156.469879518072,189,141.860215053763,139.066176470588,164.346341463415,142.972222222222,199.433734939759,170.858974358974,123.128712871287,178.496598639456,176.216216216216,200.298882681564
"2022-08-21",176.515151515152,137.894736842105,143.068548387097,149.803571428571,211.569331158238,208.275261324042,149.62,169.709838107098,182.741410488246,100.159090909091,131.66265060241,184.2,140.817204301075,138.125,161.180487804878,132.055555555556,191.717131474104,167.198083067093,117.059405940594,170.238095238095,170.530997304582,192.025139664804
"2022-08-22",175.575757575758,137.684210526316,143.862903225806,149.625,210.039215686275,207.171893147503,149.84,169.560398505604,182.871609403255,99.8409090909091,130.734939759036,183.96875,140.591397849462,137.955882352941,161.107317073171,133.25,191.745019920319,167.281150159744,118.287128712871,169.904761904762,169.770889487871,192.449720670391
